year,average height,team
2011,73.1,Los Angeles Dodgers
2011,73.2,Atlanta Braves
2011,73.2,Kansas City Royals
2011,73.3,San Francisco Giants
2011,73.4,St. Louis Cardinals
2011,73.4,Minnesota Twins
2011,73.5,Arizona Diamondbacks
2011,73.5,Toronto Blue Jays
2011,73.7,Oakland Athletics
2011,73.7,Chicago White Sox
2011,73.8,Florida Marlins
2011,73.8,Colorado Rockies
2011,73.8,New York Mets
2011,73.8,Pittsburgh Pirates
2011,73.8,Texas Rangers
2011,73.8,Washington Nationals
2011,73.9,Boston Red Sox
2011,73.9,Detroit Tigers
2011,73.9,New York Yankees
2011,73.9,Cleveland Indians
2011,73.9,Cincinnati Reds
2011,73.9,Chicago Cubs
2011,73.9,Philadelphia Phillies
2011,74.0,Tampa Bay Rays
2011,74.0,Baltimore Orioles
2011,74.1,San Diego Padres
2011,74.2,Seattle Mariners
2010,73.0,Los Angeles Dodgers
2010,73.1,Houston Astros
2010,73.2,Los Angeles Angels of Anaheim
2010,73.2,New York Mets
2010,73.2,San Francisco Giants
2010,73.2,Kansas City Royals
2010,73.4,Toronto Blue Jays
2010,73.4,Oakland Athletics
2010,73.5,Arizona Diamondbacks
2010,73.6,Cleveland Indians
2010,73.6,Minnesota Twins
2010,73.6,Atlanta Braves
2010,73.7,San Diego Padres
2010,73.7,Detroit Tigers
2010,73.7,Colorado Rockies
2010,73.7,Philadelphia Phillies
2010,73.8,Pittsburgh Pirates
2010,73.8,Washington Nationals
2010,73.8,Boston Red Sox
2010,73.8,Chicago Cubs
2010,73.8,Milwaukee Brewers
2010,73.9,Cincinnati Reds
2010,74.0,Chicago White Sox
2010,74.0,Baltimore Orioles
2010,74.0,St. Louis Cardinals
2010,74.1,Texas Rangers
2010,74.1,Florida Marlins
2010,74.1,New York Yankees
2010,74.1,Seattle Mariners
2010,74.2,Tampa Bay Rays
2009,73.0,New York Mets
2009,73.0,Houston Astros
2009,73.3,Kansas City Royals
2009,73.3,Chicago Cubs
2009,73.5,Seattle Mariners
2009,73.5,Pittsburgh Pirates
2009,73.6,Oakland Athletics
2009,73.6,Philadelphia Phillies
2009,73.6,Toronto Blue Jays
2009,73.6,Cleveland Indians
2009,73.6,Los Angeles Angels of Anaheim
2009,73.6,San Diego Padres
2009,73.6,Los Angeles Dodgers
2009,73.6,Colorado Rockies
2009,73.6,Detroit Tigers
2009,73.6,San Francisco Giants
2009,73.7,St. Louis Cardinals
2009,73.7,Milwaukee Brewers
2009,73.8,New York Yankees
2009,73.8,Boston Red Sox
2009,73.8,Baltimore Orioles
2009,73.8,Atlanta Braves
2009,73.9,Tampa Bay Rays
2009,73.9,Washington Nationals
2009,73.9,Cincinnati Reds
2009,73.9,Texas Rangers
2009,74.0,Minnesota Twins
2009,74.0,Arizona Diamondbacks
2009,74.2,Florida Marlins
2009,74.4,Chicago White Sox
2008,72.8,San Francisco Giants
2008,72.9,Houston Astros
2008,73.1,Oakland Athletics
2008,73.1,Toronto Blue Jays
2008,73.2,Philadelphia Phillies
2008,73.2,New York Mets
2008,73.2,Washington Nationals
2008,73.4,Los Angeles Dodgers
2008,73.4,Kansas City Royals
2008,73.4,Minnesota Twins
2008,73.5,San Diego Padres
2008,73.5,Atlanta Braves
2008,73.6,Cincinnati Reds
2008,73.7,Pittsburgh Pirates
2008,73.7,Chicago Cubs
2008,73.7,St. Louis Cardinals
2008,73.7,Boston Red Sox
2008,73.7,Seattle Mariners
2008,73.8,Detroit Tigers
2008,73.8,Baltimore Orioles
2008,73.8,Cleveland Indians
2008,73.8,Milwaukee Brewers
2008,73.8,Los Angeles Angels of Anaheim
2008,74.0,Tampa Bay Rays
2008,74.1,Texas Rangers
2008,74.1,Colorado Rockies
2008,74.1,Arizona Diamondbacks
2008,74.2,Florida Marlins
2008,74.2,Chicago White Sox
2008,74.5,New York Yankees
2007,73.0,Oakland Athletics
2007,73.1,New York Mets
2007,73.2,Minnesota Twins
2007,73.3,Toronto Blue Jays
2007,73.4,Los Angeles Angels of Anaheim
2007,73.4,Houston Astros
2007,73.5,San Francisco Giants
2007,73.5,San Diego Padres
2007,73.5,Detroit Tigers
2007,73.5,Arizona Diamondbacks
2007,73.5,Los Angeles Dodgers
2007,73.6,Pittsburgh Pirates
2007,73.6,Kansas City Royals
2007,73.6,Baltimore Orioles
2007,73.6,Tampa Bay Devil Rays
2007,73.7,Seattle Mariners
2007,73.7,Cleveland Indians
2007,73.7,Cincinnati Reds
2007,73.7,Philadelphia Phillies
2007,73.8,Chicago Cubs
2007,73.8,Milwaukee Brewers
2007,73.8,Florida Marlins
2007,73.8,Atlanta Braves
2007,73.8,Boston Red Sox
2007,73.8,St. Louis Cardinals
2007,73.9,Texas Rangers
2007,74.0,Washington Nationals
2007,74.1,Colorado Rockies
2007,74.2,New York Yankees
2007,74.6,Chicago White Sox
2006,72.7,Philadelphia Phillies
2006,73.0,Oakland Athletics
2006,73.2,Los Angeles Dodgers
2006,73.3,Toronto Blue Jays
2006,73.3,Minnesota Twins
2006,73.3,Houston Astros
2006,73.3,Cincinnati Reds
2006,73.4,St. Louis Cardinals
2006,73.4,Colorado Rockies
2006,73.4,San Diego Padres
2006,73.4,Texas Rangers
2006,73.4,Pittsburgh Pirates
2006,73.5,Los Angeles Angels of Anaheim
2006,73.5,New York Mets
2006,73.5,Seattle Mariners
2006,73.5,Baltimore Orioles
2006,73.6,Washington Nationals
2006,73.6,Arizona Diamondbacks
2006,73.6,San Francisco Giants
2006,73.6,Detroit Tigers
2006,73.7,Atlanta Braves
2006,73.8,Tampa Bay Devil Rays
2006,73.8,Boston Red Sox
2006,73.8,Kansas City Royals
2006,73.8,Chicago Cubs
2006,73.9,Florida Marlins
2006,74.0,Cleveland Indians
2006,74.0,New York Yankees
2006,74.1,Milwaukee Brewers
2006,74.8,Chicago White Sox
2005,72.7,San Diego Padres
2005,72.8,Toronto Blue Jays
2005,72.8,Oakland Athletics
2005,72.9,Houston Astros
2005,72.9,Philadelphia Phillies
2005,73.1,Minnesota Twins
2005,73.2,New York Mets
2005,73.2,Seattle Mariners
2005,73.2,Los Angeles Angels of Anaheim
2005,73.3,Los Angeles Dodgers
2005,73.4,Chicago Cubs
2005,73.4,Pittsburgh Pirates
