year,average weight,team
2004,202.6,Florida Marlins
2004,201.6,Anaheim Angels
2004,201.4,Seattle Mariners
2004,201.3,Colorado Rockies
2004,201.3,Houston Astros
2004,200.9,Atlanta Braves
2004,200.8,San Francisco Giants
2004,200.5,Cincinnati Reds
2004,200.1,St. Louis Cardinals
2004,200.0,Milwaukee Brewers
2004,199.9,Baltimore Orioles
2004,199.2,Pittsburgh Pirates
2004,199.2,Oakland Athletics
2004,199.2,New York Mets
2004,198.8,Toronto Blue Jays
2004,198.6,New York Yankees
2004,198.2,Arizona Diamondbacks
2004,197.3,Chicago Cubs
2004,197.1,Kansas City Royals
2004,196.6,San Diego Padres
2004,194.0,Boston Red Sox
2003,205.7,Philadelphia Phillies
2003,205.7,Chicago White Sox
2003,205.1,Florida Marlins
2003,203.4,Cincinnati Reds
2003,202.6,Toronto Blue Jays
2003,202.5,Cleveland Indians
2003,202.3,Detroit Tigers
2003,201.7,Minnesota Twins
2003,200.9,New York Yankees
2003,200.8,Tampa Bay Devil Rays
2003,200.5,Texas Rangers
2003,200.4,Pittsburgh Pirates
2003,198.9,Montreal Expos
2003,198.9,Atlanta Braves
2003,198.9,Arizona Diamondbacks
2003,198.2,St. Louis Cardinals
2003,198.2,Kansas City Royals
2003,197.9,Colorado Rockies
2003,197.9,San Diego Padres
2003,197.8,Baltimore Orioles
2003,197.8,Seattle Mariners
2003,197.4,Los Angeles Dodgers
2003,196.2,Oakland Athletics
2003,196.0,Milwaukee Brewers
2003,196.0,New York Mets
2003,195.7,San Francisco Giants
2003,195.6,Anaheim Angels
2003,195.2,Chicago Cubs
2003,195.0,Houston Astros
2003,194.6,Boston Red Sox
2002,206.8,Cleveland Indians
2002,206.1,Chicago White Sox
2002,203.6,Tampa Bay Devil Rays
2002,203.2,Texas Rangers
2002,202.7,Philadelphia Phillies
2002,202.5,Florida Marlins
2002,201.8,Minnesota Twins
2002,201.7,Toronto Blue Jays
2002,201.5,Colorado Rockies
2002,200.8,Boston Red Sox
2002,200.1,Cincinnati Reds
2002,199.5,St. Louis Cardinals
2002,199.2,Pittsburgh Pirates
2002,199.0,Montreal Expos
2002,198.2,Detroit Tigers
2002,198.2,Chicago Cubs
2002,197.9,New York Yankees
2002,197.3,Milwaukee Brewers
2002,196.7,Baltimore Orioles
2002,196.7,Houston Astros
2002,196.3,Los Angeles Dodgers
2002,196.1,Oakland Athletics
2002,196.0,New York Mets
2002,195.7,Seattle Mariners
2002,195.5,Atlanta Braves
2002,195.4,Kansas City Royals
2002,194.1,Arizona Diamondbacks
2002,193.9,Anaheim Angels
2002,192.9,San Diego Padres
2002,191.7,San Francisco Giants
2001,205.9,Florida Marlins
2001,205.3,Cleveland Indians
2001,204.2,Cincinnati Reds
2001,203.8,Tampa Bay Devil Rays
2001,202.6,Minnesota Twins
2001,202.1,Chicago White Sox
2001,200.3,Montreal Expos
2001,199.4,Milwaukee Brewers
2001,199.0,Seattle Mariners
2001,198.4,Toronto Blue Jays
2001,198.4,St. Louis Cardinals
2001,198.3,Colorado Rockies
2001,197.5,Texas Rangers
2001,196.6,Arizona Diamondbacks
2001,196.5,Houston Astros
2001,196.4,Oakland Athletics
2001,196.1,Pittsburgh Pirates
2001,195.6,New York Yankees
2001,195.0,Kansas City Royals
2001,195.0,Baltimore Orioles
2001,194.6,Boston Red Sox
2001,194.5,San Francisco Giants
2001,194.3,Philadelphia Phillies
2001,193.7,Chicago Cubs
2001,193.6,Los Angeles Dodgers
2001,193.4,Anaheim Angels
2001,192.9,Atlanta Braves
2001,192.4,San Diego Padres
2001,190.8,New York Mets
2001,188.0,Detroit Tigers
2000,203.2,Florida Marlins
2000,202.6,Milwaukee Brewers
2000,200.7,Minnesota Twins
2000,200.1,Cleveland Indians
2000,199.9,Chicago White Sox
2000,199.8,Tampa Bay Devil Rays
2000,199.5,Seattle Mariners
2000,198.9,Montreal Expos
2000,198.3,Cincinnati Reds
2000,197.2,Oakland Athletics
2000,195.7,Kansas City Royals
2000,195.7,Houston Astros
2000,195.4,Atlanta Braves
